Zone,Année,Population,Exportations (t),Importations (t),Nourriture (t),Production (t),Country Code,Stabilité politique,PIB,Infrastructures,Douanes (%),dist
Grenade,2017,110874.0,3000.0,7000.0,5000.0,1000.0,GRD,0.992375195026398,9751.42661155932,,,7120.287
Grèce,2017,10569450.0,29000.0,79000.0,162000.0,246000.0,GRC,-0.0812440440058708,18631.9930129293,3.316384,2.48,2098.726
Guatemala,2017,16914970.0,7000.0,129000.0,348000.0,235000.0,GTM,-0.651365458965302,4324.99608157801,2.20135,,9001.048
Guinée,2017,12067519.0,1000.0,37000.0,49000.0,13000.0,GIN,-0.699074149131775,833.598621691121,2.011655,13.26,4691.556
Guinée-Bissau,2017,1828145.0,3000.0,4000.0,4000.0,3000.0,GNB,-0.497683346271515,783.123186602022,1.907407,14.44,4440.633
Guyana,2017,775222.0,0.0,0.0,30000.0,31000.0,GUY,-0.049440186470747,6178.6650437298,2.236232,9.77,7320.075
Géorgie,2017,4008716.0,5000.0,51000.0,61000.0,22000.0,GEO,-0.375214755535126,4418.75206546679,2.166667,,3373.349
Haïti,2017,10982366.0,0.0,89000.0,98000.0,9000.0,HTI,-0.676077306270599,1395.23945184461,1.471292,,7361.197
Honduras,2017,9429013.0,1000.0,12000.0,205000.0,193000.0,HND,-0.565637111663818,2413.0076562942,2.03975,,8810.234
Hongrie,2017,9729823.0,210000.0,58000.0,246000.0,493000.0,HUN,0.796200513839722,14736.1668157258,3.48396,2.48,1247.24
Inde,2017,1338676785.0,4000.0,0.0,2965000.0,3545000.0,IND,-0.774099111557007,1950.10468280866,3.337178,8.88,6594.23
Indonésie,2017,264650963.0,0.0,1000.0,1904000.0,2301000.0,IDN,-0.504938721656799,3798.88326174526,2.645161,5.86,11584.25
Iran (République islamique d'),2017,80673883.0,45000.0,6000.0,2220000.0,2174000.0,IRN,-0.933828890323639,5753.11544659399,2.666667,,4218.442
Iraq,2017,37552781.0,0.0,470000.0,561000.0,96000.0,IRQ,-2.29594969749451,4759.2846435467,1.867185,,3867.434
Irlande,2017,4753279.0,93000.0,99000.0,123000.0,110000.0,IRL,0.993410110473633,72198.1076995377,3.772744,2.48,778.2031
Islande,2017,334393.0,0.0,2000.0,10000.0,10000.0,ISL,1.33768677711487,72010.1490316258,3.023077,1.29,2234.723
Israël,2017,8243848.0,3000.0,0.0,556000.0,629000.0,ISR,-0.894905745983124,41138.470964272,3.494444,1.89,3281.899
Italie,2017,60673701.0,183000.0,97000.0,1146000.0,1315000.0,ITA,0.292910486459732,32844.115660604,3.791468,2.48,1109.901
Jamaïque,2017,2920848.0,1000.0,31000.0,149000.0,128000.0,JAM,0.298303365707397,5259.31332766957,2.23237,,7734.696
Japon,2017,127502725.0,10000.0,1069000.0,2359000.0,2215000.0,JPN,1.10012805461884,38834.0529341227,4.096887,3.69,9725.629
Jordanie,2017,9785843.0,10000.0,64000.0,275000.0,210000.0,JOR,-0.434586673974991,4065.61628749384,2.774781,4.84,3371.398
Kazakhstan,2017,18080019.0,6000.0,174000.0,330000.0,171000.0,KAZ,0.0243496801704168,8943.08416791984,2.761905,4.79,5561.785
Kenya,2017,50221142.0,0.0,0.0,34000.0,35000.0,KEN,-1.12843883037567,1667.48447230835,3.209709,,6491.402
Kirghizistan,2017,6189733.0,0.0,25000.0,19000.0,7000.0,KGZ,-0.362505912780762,1221.39046807082,1.96,4.12,5424.702
Kiribati,2017,114158.0,0.0,1000.0,2000.0,1000.0,KIR,0.855436325073242,1853.05122713319,,,14371.47
Koweït,2017,4056099.0,4000.0,137000.0,188000.0,56000.0,KWT,-0.0512290969491005,29047.6535822842,2.92298,3.88,4415.222
Lesotho,2017,2091534.0,0.0,15000.0,17000.0,2000.0,LSO,-0.194124817848206,1069.36673247542,1.961644,2.35,9054.14
Lettonie,2017,1951097.0,20000.0,43000.0,41000.0,33000.0,LVA,0.452954679727554,15132.4958333982,3.235385,2.48,1704.598
Liban,2017,6819373.0,4000.0,13000.0,73000.0,64000.0,LBN,-1.62222766876221,8608.21084982387,2.642975,3.46,3197.032
Libéria,2017,4702226.0,0.0,48000.0,50000.0,15000.0,LBR,-0.319722712039948,699.269095727404,2.012614,,4892.298
